原理图封装列表

Name                Description
----------------------------------------------------------------------------------------------------

74ACT573T           双向数据传输
74HC138             138译码器
74HC154             4-16译码器
74HC4052            双通道模拟开关
74HC595             移位寄存器
74HVC32M            双输入或门
74LS32M             双输入或门
74VHC04M            非门
ACS712              电流检测芯片
ACT45B              共模电感
AD5235              数控电阻
AD8251              可控增益运放
AD8607AR            双运放
AD8667              双运放
AD8672AR            双运放
ADG836L             双刀双掷数字开关
AFBR-5803-ATQZ      光以太网
AS1015              可调升压芯片
ASM1117             3.3V稳压芯片
AT24C02             EEROM存储器
AT89S52             51系列单片机
BC57F687            蓝牙音频模块
BCP68               NPN三极管
BCP69T              PNP三极管
BEEP                蜂鸣器
BMP                 闪电符号
BTS7970             电机驱动
Battery             备份电池
Butterfly           功率激光器
Butterfly-S         功率激光器
CD4052BCM           双通道模拟开关
CG103               BOSCH点火芯片
CHECK               测试点
CY7C026AV           RAM
CY7C1041CV33        RAM
Cap                 无极性电容
Cap Pol             极性电解电容
D Connector 15      VGA
D Connector 9       串口
D-Schottky          肖特基二极管
DAC8532             数模转换
DM9000A             网络芯片
DM9000C             网络芯片
DP83848I            网络芯片
DPY-4CA             共阳4位数码管
DPY-4CK             共阴4位数码管
DRV411              闭环磁电流
DS1307Z             实时时钟
DS18B20             温度传感器
Diode               二极管
Diode-Z             稳压二极管
Diode_CRD           恒流二极管
EMIF                接插件
FIN                 散热片
FM24CL16            铁电存储器
FPC-30P             FPC排线连接器
FPC-40P             FPC排线连接器
FT232RL             USB转串口
FZT869              NPN三极管
Fuse 2              保险丝
G3VM-61             半导体继电器
GA240               Freescale16位单片机
HFBR-1414           光发送
HFBR-2412           光接收
HFKC                单刀双掷继电器
HK4100F             单刀双掷继电器
HR911103A           网络接口
HR911105A           以太网接口
HS0038B             红外接收器
Header 10           Header, 10-Pin
Header 10X2         Header, 10-Pin
Header 14X2B        2*14双排插针
Header 16           Header16贴片
Header 16X2         接插件
Header 2            接插件
Header 2X2A         接插件
Header 2X2B         接插件
Header 3            接插件
Header 32X2         接插件
Header 4            接插件
Header 40           接插件
Header 5X2          接插件
Header 6            接插件
Header 7X2          Header, 7-Pin
Header 8            Header, 8-Pin
Header 8X2A         接插件
Header_AMP50        控制器接插件
IS61LV51216         静态RAM
ISO7221             隔离芯片
Inductor            电感
JoyStick            模拟摇杆
L298                ST双电桥
L5150BN             5V稳压芯片
LCD_CON37           LCD接口
LD-6.0mm            5MW激光
LD-MOD              激光调制管
LED-RGB             三基色LED
LED0                发光二极管
LED1                双色LED
LM2577S-ADJ         DC升压
LM2577T-ADJ         DC升压
LM2596S-5.0         5V稳压芯片
LM2596S-ADJ         可调稳压芯片
LM2596T-5.0         5V稳压芯片
LM2596T-ADJ         可调稳压芯片
LM2940              5V稳压芯片
LM2940CT-5.0        1A 5V
LM2991S             稳压芯片
LM317               稳压芯片
LM324               4运放SOP8芯片
LM358               双运放
LM7171              单运放
LM7818CT            Series 3-Terminal Positive Regulator
LM7905CT            稳压芯片
LMV951              超低功耗运放
LOG114              光电检测
LT1678              双运放
LTC1044CD           Switched-Capacitor Voltage Converter
LTC6652             电压基准
M95640              
MAX11046ECB+        AD转换
MAX232              +5V Powered, Multi-Channel RS-232 Driver/Receiver
MAX3221             串口电平转换
